beneficiario,EJERCICIO,programa,componente,unidad_administrativa,cve_entidad,entidad,monto_federal_aportado,tipo_cobertura,nom_abr,rnpa,unidadeconmica,tipo_ue,tipopersona_ue,representantelegal_ue,tipoempresa_ue,estado_ue,cve_ent_ue,municipio,cve_mun,localidad_ue,cve_loc,cve_inegi,ambito_ue,latitud_ue,longitud_ue,altitud_ue,lat_dec_ue,lon_dec_ue,iniciooper,fechaderegistroactualizacion_ue,RNPA_disponible,zona,clasificacion_cn
BARRA DE MONTEPIO SC DE RL,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,205095,ESTATAL,VER,3002006074,SCPP BARRA DE MONTEPIO SC DE RL,CAPTURA,MORAL,ALBERTO CHANG MURILLO,COOPERATIVA,VERACRUZ,30,SAN ANDRES TUXTLA,141,DOS DE ABRIL (MONTEPIO CHIQUITO),103,301410103,R,183831.4,950601.339,10,18.642056,-95.100372,18/08/2011,11/8/2016,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
BEAN AB SC DE RL DE CV,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,2958647.2,ESTATAL,SON,2607603012,BEAN AB SC DE RL DE CV,CAPTURA,MORAL,BENITO ANGULO ANGULO,COOPERATIVA,SONORA,26,PUERTO PENASCO,48,PUERTO PENASCO,1,260480001,U,311822.877,1133225.784,4,31.306355,-113.540496,18/02/2010,27/04/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
CANON DE LA ZORRA SC DE RL DE CV,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,5,COAHUILA,154400,ESTATAL,COAH,500000013,CANON DE LA ZORRA SC DE RL DE CV,CAPTURA,MORAL,FRANCISCO CHAVEZ AMAYA,COOPERATIVA,COAHUILA,5,ACUNA,2,CIUDAD ACUNA,1,50020001,U,291948.02,1005841.73,291,29.330006,-100.978258,20/05/2010,16/03/16,Disponible,AGUAS INTERIORES,INSPECCIÓN Y VIGILANCIA
CLUB NAUTICO TAMPAMACHOCO ASOCIACION CIVIL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,409440,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
COMITE DE ARMADORES Y RIVERENOS PARA VIGILAR LAS VEDAS AC,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,26,SONORA,4865356,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
COMITE PESQUERO DE LERMA AC,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,138656,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
COMUNIDAD Y BIODIVERSIDAD AC,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,26,SONORA,583795,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
CONFED MEXICANA DE COOPERATIVAS PESQUERAS Y ACUICOLAS SC DE RL DE CV,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,NA,NA,3206550,REGIONAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
CONFED NACIONAL COOPERATIVA PESQUERA SC DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,3,BAJA CALIFORNIA SUR,2042040,ESTATAL,BCS,901001305,CONFED NACIONAL COOPERATIVA PESQUERA SC DE RL,"ACUACULTURA, CAPTURA",MORAL,ARMANDO CASTRO LEAL,COOPERATIVA,CIUDAD DE MEXICO,9,CUAUHTEMOC,15,CUAUHTEMOC,1,90150001,U,192629.928,990906.781,2230,19.441647,-99.151884,13/03/1997,23/06/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
CONSEJO DEL CAMARON EN TAMAULIPAS AC,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,1095302.52,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
COOPERATIVA PESQUERA STHEICY SC DE RL,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,271125,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
COOPERATIVA PESQUERA Y CAMPAMENTO TORTUGUERO SANTA CRUZ DE MITLA SC DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,12,GUERRERO,188025,ESTATAL,GRO,1201007976,COOPERATIVA PESQUERA Y CAMPAMENTO TORTUGUERO SANTA CRUZ DE MITLA SC DE RL,CAPTURA,MORAL,VALENTIN ANDRADE ABARCA,COOPERATIVA,GUERRERO,12,COYUCA DE BENITEZ,21,SANTA CRUZ DE MITLA,255,120210255,R,165943.908,1001411.119,-3,16.99553,-100.236422,18/08/2011,28/07/15,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
DAYAN JHOSEP TEJEDA CAMPOS,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,126525,ESTATAL,VER,3001010184,DAYAN JHOSEP TEJEDA CAMPOS,CAPTURA,FISÍCA,DAYAN JHOSEP TEJEDA CAMPOS,NO_DISPONIBLE,NO DISPONIBLE,30,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,8/11/2012,8/11/2012,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ECOSISTEMAS COSTEROS SUSTENTABLES AC,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,25,SINALOA,516000,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
EFRAIN CRUZ LUGO,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,200145,ESTATAL,VER,3012003921,EFRAIN CRUZ LUGO,CAPTURA,FISÍCA,EFRAIN CRUZ LUGO,NO_DISPONIBLE,VERACRUZ,30,TAMPICO ALTO,152,LAS CHACAS,85,301520085,R,215604.503,974331.149,4,21.934584,-97.725319,18/08/2011,17/07/15,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
EUROPESCA SA DE CV,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,151997,ESTATAL,SIN,2508011240,EUROPESCA SA DE CV,CAPTURA,MORAL,HUMBERTO BECERRA BATISTA,EMPRESA PRIVADA,SINALOA,25,MAZATLAN,12,MAZATLAN,1,250120001,U,231201.137,1062519.997,10,23.200316,-106.422221,18/08/2011,30/04/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS DE LA INDUSTRIA PESQUERA SONORENSE SC DE RL,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,460960,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS DE LA INDUSTRIA PESQUERA Y ACUICOLA DE LA COSTA NORTE DE JALISCO SC DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,14,JALISCO,1598375,ESTATAL,JAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS PESCA AVANTE DEL SUR DE SINALOA NORTE DE NAYARIT SC DE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,111449,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS PESQUERAS DE PESCADORES DEL SIGLO 21 SC DE RL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,136920,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS PESQUERAS DE PESCADORESDEL SIGLO 21 SC DE RL,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,518210,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS PESQUERAS DE SERVICIOS Y MARICULTURA CERRO CABEZON SC DE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,187946,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS PESQUERAS DEL MUNICIPIO DE GUASAVE SC DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,709075,ESTATAL,SIN,2505004990,FED DE COOPERATIVAS PESQUERAS DEL MUNICIPIO DE GUASAVE SC DE RL,"ACUACULTURA, CAPTURA",MORAL,RAUL LEAL FELIX,SOCIEDAD DE RESPONSABILIDAD LIMITADA,SINALOA,25,GUASAVE,11,GUASAVE,1,250110001,U,253355.97,1082818.543,21,25.565547,-108.471818,22/01/2005,26/12/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS PESQUERAS GUERREROS DEL SUR DE SINALOA SDE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,757665,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS PESQUERAS NUEVA CONCORDIA SC DE RL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,7,CHIAPAS,38360,ESTATAL,CHIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS RIBERENAS ACUICOLAS Y TURISTICAS EL SABALO SC DE RL DE CV,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,477120,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS RIBERENAS Y ACUICOLAS SAYOSAL SC DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,166701.6,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED DE LANGOSTINEROS Y CHACALEROS DE COLIMA AC,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,6,COLIMA,419040,ESTATAL,COL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED DE SCP DEL CENTRO DE SINALOA SC DE RL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,765550,ESTATAL,SIN,2504000288,SCPP SUR DE SINALOA SRL DE CV,CAPTURA,MORAL,SEVERIANO ROCHAS FARIAS,COOPERATIVA,SINALOA,25,ESCUINAPA,9,LA CONCHA (LA CONCEPCION),20,250090020,R,223143.158,1052708.034,11,22.528655,-105.452232,25/08/1935,9/7/2015,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SCP GUERREROS DEL SUR DE SINALOA SDE RL DE CV,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,648816,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SCP RIBERENAS DEL ESTADO DE OAXACA ZONA SUR SC DE RL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,20,OAXACA,300300,ESTATAL,OAX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED DE SCP ZONA CENTRO BC SUR SC DE RL DE CV,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,3,BAJA CALIFORNIA SUR,364540,ESTATAL,BCS,305008138,FED DE SCP ZONA CENTRO BCS SC DE RL DE CV,CAPTURA,MORAL,JOSE DE JESUS FLORES HIGUERA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,1,30030001,U,240832,1101839,27,24.142222,-110.310833,30/03/2013,23/12/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SCPP AUTENTICOS PESCADORES DE LA BAHIA DEL TOBARI SC DE RL DE CV,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,26,SONORA,511680,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SCPP COSTA NAHUATL DE MICHOACAN SC DE RL DE CV,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,16,MICHOACAN,621180,ESTATAL,MICH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED DE SCPP DE BAHIA Y AGUAS MARINAS ALTATA Y ENSENADA DEL PABELLON SC DE RL DE CV,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,25,SINALOA,581300,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SCPP DEL CAMPO PESQUERO DAUTILLOS SC DE RL DE CV,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,377973,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SCPP DEL EVORA SC DE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,214625,ESTATAL,SIN,2506002498,FED DE SCPP DEL EVORA SC DE RL DE CV,CAPTURA,MORAL,ARTURO AVILA ATONDO,UNIÓN DE PESCADORES,SINALOA,25,CULIACAN,6,CULIACAN ROSALES,1,250060001,U,244831.709,1072337.522,57,24.808808,-107.393756,26/08/2009,11/3/2015,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SCPP DEL SUR DE SINALOA SC DE RL,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,373175,ESTATAL,SIN,2504000288,SCPP SUR DE SINALOA SRL DE CV,CAPTURA,MORAL,SEVERIANO ROCHAS FARIAS,COOPERATIVA,SINALOA,25,ESCUINAPA,9,LA CONCHA (LA CONCEPCION),20,250090020,R,223143.158,1052708.034,11,22.528655,-105.452232,25/08/1935,9/7/2015,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SCPP LOS BARBAROS DE PLAYA COLORADA SC DE RL DE CV,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,139990,ESTATAL,SIN,2506002522,FED DE SCPP LOS BARBAROS DE PLAYA COLORADA SC DE RL DE CV,CAPTURA,MORAL,AGUSTIN JAIME SALAZAR DE LA CERDA,UNIÓN DE PESCADORES,SINALOA,25,ANGOSTURA,2,ANGOSTURA,1,250020001,U,252151.696,1080934.159,25,25.36436,-108.159489,20/03/2015,10/4/2015,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
